,Unnamed: 0,Time,Voltage (V),Current Load (A),Watts (W)
0,0,0.0,4.025266,2,0.0
1,1,0.4956822395324707,4.025278,2,8.050556
2,2,5.775949478149414,3.993076,2,7.986152
3,3,11.04598903656006,3.986101,2,7.972202
4,4,16.32644176483154,3.981398,2,7.962796
5,5,21.60649681091309,3.977656,2,7.955312
6,6,26.88567924499512,3.974507,2,7.949014
7,7,32.16693186759949,3.971742,2,7.943484
8,8,37.44686961174011,3.969275,2,7.93855
9,9,42.73738765716553,3.967021,2,7.934042
10,10,48.01742172241211,3.964931,2,7.929862
11,11,53.29719257354736,3.962985,2,7.92597
12,12,58.58777189254761,3.961139,2,7.922278
13,13,63.86710810661316,3.959393,2,7.918786
14,14,69.13796830177307,3.957724,2,7.915448
15,15,74.42821764945984,3.956123,2,7.912246
16,16,79.70824694633484,3.954578,2,7.909156
17,17,84.99868750572205,3.953094,2,7.906188
18,18,90.27893948554993,3.951653,2,7.903306
19,19,95.56874775886536,3.950248,2,7.900496
20,20,100.8495681285858,3.948888,2,7.897776
21,21,106.1292934417725,3.947551,2,7.895102
22,22,111.4196298122406,3.946244,2,7.892488
23,23,116.7098660469055,3.944962,2,7.889924
24,24,121.9899406433105,3.943701,2,7.887402
25,25,127.2799618244171,3.942462,2,7.884924
26,26,132.5602695941925,3.941254,2,7.882508
27,27,137.8403427600861,3.940047,2,7.880094
28,28,143.1306691169739,3.938869,2,7.877738
29,29,148.4206087589264,3.937699,2,7.875398
30,30,153.7011456489563,3.936555,2,7.87311
31,31,158.9915294647217,3.935415,2,7.87083
32,32,164.2612900733948,3.934286,2,7.868572
33,33,169.5516629219055,3.933167,2,7.866334
34,34,174.8217306137085,3.932059,2,7.864118
35,35,180.1019942760468,3.930969,2,7.861938
36,36,185.3721408843994,3.929882,2,7.859764
37,37,190.6621973514557,3.928804,2,7.857608
38,38,195.942253112793,3.927734,2,7.855468
39,39,201.2224733829498,3.926676,2,7.853352
40,40,206.4927749633789,3.925619,2,7.851238
41,41,211.7828168869019,3.924576,2,7.849152
42,42,217.073292016983,3.923527,2,7.847054
43,43,222.3534440994263,3.922497,2,7.844994
44,44,227.6335608959198,3.921467,2,7.842934
45,45,232.9236559867859,3.920436,2,7.840872
46,46,238.2040286064148,3.919415,2,7.83883
47,47,243.4940097332001,3.918408,2,7.836816
48,48,248.7843670845032,3.917398,2,7.834796
49,49,254.0731914043427,3.916404,2,7.832808
50,50,259.3547041416168,3.915401,2,7.830802
51,51,264.6449224948883,3.914411,2,7.828822
52,52,269.9350826740265,3.913423,2,7.826846
53,53,275.2150728702545,3.912449,2,7.824898
54,54,280.5053703784943,3.911479,2,7.822958
55,55,285.7950065135956,3.9105,2,7.821
56,56,291.0856220722198,3.909544,2,7.819088
57,57,296.3861219882965,3.908577,2,7.817154
58,58,301.6761999130249,3.907627,2,7.815254
59,59,306.9663426876068,3.906673,2,7.813346
60,60,312.2563688755035,3.905732,2,7.811464
61,61,317.5467782020569,3.904787,2,7.809574
62,62,322.8367435932159,3.903852,2,7.807704
63,63,328.1168875694275,3.902926,2,7.805852
64,64,333.3973469734192,3.902,2,7.804
65,65,338.6872696876526,3.901081,2,7.802162
66,66,343.977694272995,3.900174,2,7.800348
67,67,349.2875912189484,3.899259,2,7.798518
68,68,354.5678973197937,3.898367,2,7.796734
69,69,359.8581335544586,3.897462,2,7.794924
70,70,365.1374583244324,3.896572,2,7.793144
71,71,370.4185526371002,3.895691,2,7.791382
72,72,375.7087552547455,3.894806,2,7.789612
73,73,381.0089540481567,3.893935,2,7.78787
74,74,386.3090145587921,3.893053,2,7.786106
75,75,391.5993320941925,3.892191,2,7.784382
76,76,396.8794131278992,3.891323,2,7.782646
77,77,402.1696300506592,3.890459,2,7.780918
78,78,407.4600403308868,3.889609,2,7.779218
79,79,412.7492980957031,3.888762,2,7.777524
80,80,418.019947052002,3.887922,2,7.775844
