,Time,Voltage (V),Current Load (A),Watts (W)
0,0,4.190061,2,0
1,0.501725912,4.190058,2,8.380116
2,5.781820059,4.1489,2,8.2978
3,11.05223036,4.13646,2,8.27292
4,16.33235836,4.12924,2,8.25848
5,21.6025281,4.123764,2,8.247528
6,26.89178228,4.119223,2,8.238446
7,32.16255307,4.115288,2,8.230576
8,37.44328618,4.111785,2,8.22357
9,42.72340465,4.108594,2,8.217188
10,48.00366998,4.10565,2,8.2113
11,53.29375362,4.102904,2,8.205808
12,58.57302642,4.100301,2,8.200602
13,63.86424422,4.097852,2,8.195704
14,69.14439654,4.09552,2,8.19104
15,74.42459941,4.093298,2,8.186596
16,79.704777,4.091163,2,8.182326
17,84.97498035,4.089115,2,8.17823
18,90.24514246,4.087147,2,8.174294
19,95.52506065,4.085239,2,8.170478
20,100.8048017,4.083405,2,8.16681
21,106.0848594,4.081637,2,8.163274
22,111.3758152,4.079913,2,8.159826
23,116.6558168,4.078261,2,8.156522
24,121.9451764,4.076646,2,8.153292
25,127.2153776,4.075092,2,8.150184
26,132.4962175,4.073573,2,8.147146
27,137.7665768,4.072113,2,8.144226
28,143.0568316,4.070682,2,8.141364
29,148.3370442,4.069295,2,8.13859
30,153.6171894,4.067951,2,8.135902
31,158.9073172,4.06664,2,8.13328
32,164.1875818,4.065349,2,8.130698
33,169.4782484,4.064106,2,8.128212
34,174.7678933,4.0629,2,8.1258
35,180.0582526,4.061718,2,8.123436
36,185.3383353,4.060569,2,8.121138
37,190.6185551,4.059443,2,8.118886
38,195.8888006,4.05835,2,8.1167
39,201.1789129,4.057286,2,8.114572
40,206.469053,4.056245,2,8.11249
41,211.7494321,4.055226,2,8.110452
42,217.0295105,4.054234,2,8.108468
43,222.3190861,4.053261,2,8.106522
44,227.5996983,4.052318,2,8.104636
45,232.8902569,4.051394,2,8.102788
46,238.1700568,4.050494,2,8.100988
47,243.4598184,4.049613,2,8.099226
48,248.7397773,4.048755,2,8.09751
49,254.0308373,4.047907,2,8.095814
50,259.3108015,4.047093,2,8.094186
51,264.6114237,4.046278,2,8.092556
52,269.9109735,4.045495,2,8.09099
53,275.2215328,4.044733,2,8.089466
54,280.5113778,4.043979,2,8.087958
55,285.8121006,4.043244,2,8.086488
56,291.1214805,4.042521,2,8.085042
57,296.4125085,4.04182,2,8.08364
58,301.7123404,4.041132,2,8.082264
59,307.0222847,4.040453,2,8.080906
60,312.3021188,4.039801,2,8.079602
61,317.603148,4.039142,2,8.078284
62,322.8830214,4.038512,2,8.077024
63,328.1731725,4.037886,2,8.075772
64,333.4636889,4.037282,2,8.074564
65,338.7630482,4.036684,2,8.073368
66,344.0538747,4.036102,2,8.072204
67,349.3334227,4.035526,2,8.071052
68,354.6341166,4.034968,2,8.069936
69,359.9444399,4.034417,2,8.068834
70,365.2446005,4.033869,2,8.067738
71,370.5434647,4.03334,2,8.06668
72,375.8342106,4.032819,2,8.065638
73,381.1142263,4.032318,2,8.064636
74,386.4051669,4.031807,2,8.063614
75,391.6954184,4.031315,2,8.06263
76,396.9858656,4.030849,2,8.061698
77,402.285908,4.030371,2,8.060742
78,407.5762126,4.0299,2,8.0598
79,412.8657277,4.029448,2,8.058896
80,418.1760981,4.028989,2,8.057978
81,423.4568484,4.028543,2,8.057086
82,428.7667632,4.028104,2,8.056208
83,434.0673225,4.027681,2,8.055362
84,439.3664715,4.02726,2,8.05452
85,444.6670363,4.026844,2,8.053688
86,449.967335,4.026434,2,8.052868
87,455.2776399,4.02604,2,8.05208
88,460.5780039,4.025647,2,8.051294
89,465.8878384,4.025259,2,8.050518
90,471.1883197,4.024876,2,8.049752
91,476.4886551,4.024503,2,8.049006
92,481.788887,4.024137,2,8.048274
93,487.077806,4.023761,2,8.047522
94,492.3784029,4.023416,2,8.046832
95,497.6688776,4.023065,2,8.04613
96,502.9794381,4.022715,2,8.04543
97,508.289438,4.022361,2,8.044722
98,513.5794282,4.02202,2,8.04404
99,518.879874,4.021684,2,8.043368
100,524.1700783,4.02136,2,8.04272
101,529.4692588,4.02104,2,8.04208
102,534.7701945,4.020724,2,8.041448
103,540.0803411,4.020409,2,8.040818
104,545.4008257,4.020094,2,8.040188
105,550.6811335,4.019786,2,8.039572
106,555.9712088,4.019487,2,8.038974
107,561.2613382,4.019181,2,8.038362
108,566.5512805,4.018883,2,8.037766
109,571.8420227,4.018592,2,8.037184
110,577.171761,4.0183,2,8.0366
111,582.472893,4.018011,2,8.036022
112,587.7821681,4.017719,2,8.035438
113,593.112536,4.017435,2,8.03487
114,598.4218998,4.017156,2,8.034312
115,603.7125826,4.016881,2,8.033762
116,609.0028131,4.016604,2,8.033208
117,614.3031888,4.016335,2,8.03267
118,619.623589,4.016065,2,8.03213
119,624.9336493,4.015793,2,8.031586
120,630.2437818,4.015521,2,8.031042
121,635.5335524,4.015265,2,8.03053
122,640.8242538,4.015004,2,8.030008
123,646.1143198,4.01474,2,8.02948
124,651.4137163,4.014491,2,8.028982
125,656.7143686,4.014236,2,8.028472
126,662.0148015,4.013987,2,8.027974
127,667.3145971,4.013741,2,8.027482
128,672.6252897,4.013485,2,8.02697
129,677.9153597,4.013237,2,8.026474
130,683.235749,4.012993,2,8.025986
131,688.5465171,4.012747,2,8.025494
132,693.8558681,4.012504,2,8.025008
133,699.1461821,4.01226,2,8.02452
134,704.4264455,4.012024,2,8.024048
135,709.716759,4.01179,2,8.02358
136,715.0063906,4.011552,2,8.023104
137,720.295682,4.011321,2,8.022642
138,725.6064548,4.011086,2,8.022172
139,730.9077153,4.010849,2,8.021698
140,736.1873927,4.010612,2,8.021224
141,741.4883585,4.010386,2,8.020772
142,746.7868154,4.010155,2,8.02031
143,752.0781131,4.009919,2,8.019838
144,757.3677132,4.009682,2,8.019364
145,762.6679478,4.009448,2,8.018896
146,767.9573414,4.009221,2,8.018442
147,773.2485294,4.008983,2,8.017966
148,778.5390635,4.00876,2,8.01752
149,783.8292978,4.008525,2,8.01705
150,789.1186624,4.00829,2,8.01658
151,794.4090998,4.008068,2,8.016136
152,799.699796,4.007841,2,8.015682
153,804.9891016,4.007604,2,8.015208
154,810.280432,4.007375,2,8.01475
155,815.5608797,4.007137,2,8.014274
156,820.8600621,4.006902,2,8.013804
157,826.1502857,4.006681,2,8.013362
158,831.4509573,4.006441,2,8.012882
159,836.7410715,4.006211,2,8.012422
160,842.0304358,4.005977,2,8.011954
161,847.3215008,4.005737,2,8.011474
162,852.6115789,4.005496,2,8.010992
163,857.9013045,4.005256,2,8.010512
164,863.2120621,4.005013,2,8.010026
165,868.5017509,4.004785,2,8.00957
166,873.7920868,4.004545,2,8.00909
167,879.0822964,4.004299,2,8.008598
168,884.3825421,4.004056,2,8.008112
169,889.6721992,4.003813,2,8.007626
170,894.9627521,4.003574,2,8.007148
171,900.2530742,4.003327,2,8.006654
172,905.5434175,4.003074,2,8.006148
173,910.8426738,4.002817,2,8.005634
174,916.1333263,4.002571,2,8.005142
175,921.4238114,4.002316,2,8.004632
176,926.7137616,4.002067,2,8.004134
177,932.0041659,4.001808,2,8.003616
178,937.2844081,4.001553,2,8.003106
179,942.57465,4.001293,2,8.002586
180,947.8644924,4.00104,2,8.00208
181,953.1638439,4.000768,2,8.001536
182,958.4752572,4.000496,2,8.000992
183,963.7643628,4.000242,2,8.000484
184,969.0856652,3.999961,2,7.999922
185,974.3758357,3.999699,2,7.999398
186,979.6755354,3.999409,2,7.998818
187,984.9759283,3.999138,2,7.998276
188,990.2759805,3.998853,2,7.997706
189,995.5669084,3.998559,2,7.997118
190,1000.866853,3.998276,2,7.996552
191,1006.157343,3.997987,2,7.995974
192,1011.467318,3.99769,2,7.99538
193,1016.766921,3.997395,2,7.99479
194,1022.057401,3.997083,2,7.994166
195,1027.34745,3.996786,2,7.993572
196,1032.647853,3.996473,2,7.992946
197,1037.947628,3.996154,2,7.992308
198,1043.257473,3.995837,2,7.991674
199,1048.558948,3.995519,2,7.991038
200,1053.858463,3.995188,2,7.990376
201,1059.158968,3.994861,2,7.989722
202,1064.478737,3.994533,2,7.989066
203,1069.778346,3.994183,2,7.988366
204,1075.078993,3.993839,2,7.987678
205,1080.379641,3.993501,2,7.987002
206,1085.679136,3.993141,2,7.986282
207,1090.979328,3.992784,2,7.985568
208,1096.280202,3.992424,2,7.984848
